             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          41161574    shared       $1    mehul  R      10:26      1 node-0078
          41161575    shared       $1    mehul  R      10:26      1 node-0078
          41161576    shared       $1    mehul  R      10:26      1 node-0078
          41161577    shared       $1    mehul  R      10:26      1 node-0078
          41161578    shared       $1    mehul  R      10:26      1 node-0078
          41161579    shared       $1    mehul  R      10:26      1 node-0078
          41161580    shared       $1    mehul  R      10:26      1 node-0078
          41161581    shared       $1    mehul  R      10:26      1 node-0078
          41161582    shared       $1    mehul  R      10:26      1 node-0078
          41161583    shared       $1    mehul  R      10:26      1 node-0078
          41161584    shared       $1    mehul  R      10:26      1 node-0078
          41161585    shared       $1    mehul  R      10:26      1 node-0079
          41161586    shared       $1    mehul  R      10:26      1 node-0079
          41161587    shared       $1    mehul  R      10:26      1 node-0079
          41161588    shared       $1    mehul  R      10:26      1 node-0079
          41161589    shared       $1    mehul  R      10:26      1 node-0079
          41161590    shared       $1    mehul  R      10:26      1 node-0079
          41161591    shared       $1    mehul  R      10:26      1 node-0079
          41161592    shared       $1    mehul  R      10:26      1 node-0079
          41161593    shared       $1    mehul  R      10:26      1 node-0079
          41161594    shared       $1    mehul  R      10:26      1 node-0079
          41161595    shared       $1    mehul  R      10:26      1 node-0079
          41161596    shared       $1    mehul  R      10:26      1 node-0079
          41161597    shared       $1    mehul  R      10:26      1 node-0079
          41161598    shared       $1    mehul  R      10:26      1 node-0079
          41161599    shared       $1    mehul  R      10:26      1 node-0079
          41161600    shared       $1    mehul  R      10:26      1 node-0079
          41161601    shared       $1    mehul  R      10:26      1 node-0079
          41161602    shared       $1    mehul  R      10:26      1 node-0079
          41161603    shared       $1    mehul  R      10:26      1 node-0079
          41161604    shared       $1    mehul  R      10:26      1 node-0103
          41161605    shared       $1    mehul  R      10:26      1 node-0103
          41161606    shared       $1    mehul  R      10:26      1 node-0103
          41161607    shared       $1    mehul  R      10:26      1 node-0103
          41161608    shared       $1    mehul  R      10:26      1 node-0103
          41161609    shared       $1    mehul  R      10:26      1 node-0103
          41161610    shared       $1    mehul  R      10:26      1 node-0103
          41161611    shared       $1    mehul  R      10:26      1 node-0103
          41161612    shared       $1    mehul  R      10:26      1 node-0103
          41161613    shared       $1    mehul  R      10:26      1 node-0103
          41161614    shared       $1    mehul  R      10:26      1 node-0103
          41161615    shared       $1    mehul  R      10:26      1 node-0103
          41161616    shared       $1    mehul  R      10:26      1 node-0103
          41161617    shared       $1    mehul  R      10:26      1 node-0103
          41161618    shared       $1    mehul  R      10:26      1 node-0103
          41161619    shared       $1    mehul  R      10:26      1 node-0103
          41161620    shared       $1    mehul  R      10:26      1 node-0103
          41161621    shared       $1    mehul  R      10:26      1 node-0103
          41161622    shared       $1    mehul  R      10:26      1 node-0103
          41161623    shared       $1    mehul  R      10:26      1 node-0104
          41161624    shared       $1    mehul  R      10:26      1 node-0104
          41161625    shared       $1    mehul  R      10:26      1 node-0104
          41161509    shared       $1    mehul  R      10:29      1 node-0075
