filename,object,H,a (au),e,i (deg),JD of observation,RA (deg),Dec (deg),image ID,chip ID w/ trail,exposure time (s),time since last exposure (s),filter,g obs,r obs,i obs,"calculated rate of motion @ exp. time: dRA/dt, dDEC/dt [arcsec/min]",,tracking rates,,trail start location,,trail end location,,cross-track FWHM,"notes (e.g. image quality, confusion w/ star, etc.)"
1893854o04.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9627947,140.956292,19.019306,1893854,04,60,110,i.MP9703,0,0,1,9.393468333,-2.170066667,,,,,,,,couldnt find it
1893849o13.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9547238,140.923375,19.053944,1893849,13,60,0,g.MP9402,1,0,0,9.401168333,-2.1578,,,,,,,,
1893850o13.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9559922,140.928542,19.048472,1893850,13,60,110,g.MP9402,1,0,0,9.399818333,-2.15975,,,,,,,,
1893851o13.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9581036,140.937167,19.039417,1893851,13,60,182,r.MP9602,0,1,0,9.397686667,-2.162966667,,,,,,,,
1893852o13.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9593711,140.942292,19.034,1893852,13,60,110,r.MP9602,0,1,0,9.396476667,-2.1649,,,,,,,,
1893853o13.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9615266,140.951125,19.024722,1893853,13,60,186,i.MP9703,0,0,1,9.39454,-2.168166667,,,,,,,,
1893854o13.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9627947,140.956292,19.019306,1893854,13,60,110,i.MP9703,0,0,1,9.393468333,-2.170066667,,,,,,,,
1893849o22.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9547238,140.923375,19.053944,1893849,22,60,0,g.MP9402,1,0,0,9.401168333,-2.1578,,,,,,,,
1893850o22.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9559922,140.928542,19.048472,1893850,22,60,110,g.MP9402,1,0,0,9.399818333,-2.15975,,,,,,,,
1893851o22.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9581036,140.937167,19.039417,1893851,22,60,182,r.MP9602,0,1,0,9.397686667,-2.162966667,,,,,,,,
1893852o22.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9593711,140.942292,19.034,1893852,22,60,110,r.MP9602,0,1,0,9.396476667,-2.1649,,,,,,,,
1893853o22.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9615266,140.951125,19.024722,1893853,22,60,186,i.MP9703,0,0,1,9.39454,-2.168166667,,,,,,,,
1893854o22.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9627947,140.956292,19.019306,1893854,22,60,110,i.MP9703,0,0,1,9.393468333,-2.170066667,,,,,,,,
1891529o22.flt,2016 CE3,18.4,2.58,0.11,2.93,2457422.8630000,107.322917,48.8935,1891529,22,60,0,g.MP9402,1,0,0,-0.6004516667,0.1793543333,,,1397,3948,1380,4061,,
1891530o22.flt,2016 CE3,18.4,2.58,0.11,2.93,2457422.8640000,107.236333,48.905194,1891530,22,60,86,g.MP9402,1,0,0,-0.6005516667,0.1793208333,,,1423,3739,1410,3852,,
